STATE,ST,TIMEZONE,TZ
Northland,NZ-NTL,New Zealand Standard Time,NZST
Auckland,NZ-AUK,New Zealand Standard Time,NZST
Waikato,NZ-WKO,New Zealand Standard Time,NZST
Manawatu-Wanganui,NZ-MWT,New Zealand Standard Time,NZST
Bay of Plenty,NZ-BOP,New Zealand Standard Time,NZST
Hawke's Bay,NZ-HKB,New Zealand Standard Time,NZST
Gisborne,NZ-GIS,New Zealand Standard Time,NZST
Taranaki,NZ-TKI,New Zealand Standard Time,NZST
Wellington,NZ-WGN,New Zealand Standard Time,NZST
Tasman,NZ-TAS,New Zealand Standard Time,NZST
Nelson,NZ-NSN,New Zealand Standard Time,NZST
Marlborough,NZ-MBH,New Zealand Standard Time,NZST
Canterbury,NZ-CAN,New Zealand Standard Time,NZST
West Coast,NZ-WTC,New Zealand Standard Time,NZST
Otago,NZ-OTA,New Zealand Standard Time,NZST
Southland,NZ-STL,New Zealand Standard Time,NZST